"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
273.22,1,5.0372,5.2372,0,5
273.21,1,5.047,5.247,0,5
273.21,1,5.0568,5.2568,0,5
273.2,1,5.0666,5.2666,0,5
273.19,1,5.0764,5.2764,0,5
273.19,1,5.0862,5.2862,0,5
273.18,1,5.096,5.296,0,5
273.17,1,5.1058,5.3058,0,5
273.17,1,5.1156,5.3156,0,5
273.17,1,5.1254,5.3254,0,5
273.17,1,5.1352,5.3352,0,5
273.16,1,5.145,5.345,0,5
273.16,1,5.1548,5.3548,0,5
273.16,1,5.1646,5.3646,0,5
273.16,1,5.1744,5.3744,0,5
273.16,1,5.1842,5.3842,0,5
273.16,1,5.194,5.394,0,5
273.16,1,5.2038,5.4038,0,5
273.16,1,5.2136,5.4136,0,5
273.16,1,5.2234,5.4234,0,5
273.16,1,5.2332,5.4332,0,5
273.16,1,5.243,5.443,0,5
273.16,1,5.2528,5.4528,0,5
273.16,1,5.2626,5.4626,0,5
273.16,1,5.2724,5.4724,0,5
273.16,1,5.2822,5.4822,0,5
273.16,1,5.292,5.492,0,5
273.16,1,5.3018,5.5018,0,5
273.16,1,5.3116,5.5116,0,5
273.16,1,5.3214,5.5214,0,5
273.16,1,5.3312,5.5312,0,5
273.16,1,5.341,5.541,0,5
273.16,1,5.3508,5.5508,0,5
273.16,1,5.3606,5.5606,0,5
273.16,1,5.3704,5.5704,0,5
273.16,1,5.3802,5.5802,0,5
273.16,1,5.39,5.59,0,5
273.15,1,5.3998,5.5998,0,5
273.15,1,5.4096,5.6096,0,5
273.15,1,5.4194,5.6194,0,5
273.15,1,5.4292,5.6292,0,5
273.15,1,5.439,5.639,0,5
273.15,1,5.4488,5.6488,0,5
273.15,1,5.4586,5.6586,0,5
273.15,1,5.4684,5.6684,0,5
273.15,1,5.4782,5.6782,0,5
273.15,1,5.488,5.688,0,5
273.15,1,5.4978,5.6978,0,5
273.15,1,5.5076,5.7076,0,5
273.15,1,5.5174,5.7174,0,5
273.15,1,5.5272,5.7272,0,5
273.15,1,5.537,5.737,0,5
273.15,1,5.5468,5.7468,0,5
273.15,1,5.5566,5.7566,0,5
273.15,1,5.5664,5.7664,0,5
273.15,1,5.5762,5.7762,0,5
273.15,1,5.586,5.786,0,5
273.15,1,5.5958,5.7958,0,5
273.15,1,5.6056,5.8056,0,5
273.15,1,5.6154,5.8154,0,5
273.15,1,5.6252,5.8252,0,5
273.15,1,5.635,5.835,0,5
273.15,1,5.6448,5.8448,0,5
273.15,1,5.6546,5.8546,0,5
273.15,1,5.6644,5.8644,0,5
273.15,1,5.6742,5.8742,0,5
273.15,1,5.684,5.884,0,5
273.15,1,5.6938,5.8938,0,5
273.15,1,5.7036,5.9036,0,5
273.15,1,5.7134,5.9134,0,5
273.15,1,5.7232,5.9232,0,5
273.15,1,5.733,5.933,0,5
273.15,1,5.7428,5.9428,0,5
273.15,1,5.7526,5.9526,0,5
273.15,1,5.7624,5.9624,0,5
273.15,1,5.7722,5.9722,0,5
273.15,1,5.782,5.982,0,5
273.15,1,5.7918,5.9918,0,5
273.15,1,5.8016,6.0016,0,5
273.15,1,5.8114,6.0114,0,5
273.15,1,5.8212,6.0212,0,5
273.15,1,5.831,6.031,0,5
273.15,1,5.8408,6.0408,0,5
273.15,1,5.8506,6.0506,0,5
273.15,1,5.8604,6.0604,0,5
273.15,1,5.8702,6.0702,0,5
273.15,1,5.88,6.08,0,5
273.15,1,5.8898,6.0898,0,5
273.15,1,5.8996,6.0996,0,5
273.15,1,5.9094,6.1094,0,5
273.15,1,5.9192,6.1192,0,5
273.15,1,5.929,6.129,0,5
273.15,1,5.9388,6.1388,0,5
273.15,1,5.9486,6.1486,0,5
273.15,1,5.9584,6.1584,0,5
273.15,1,5.9682,6.1682,0,5
273.15,1,5.978,6.178,0,5
273.15,1,5.9878,6.1878,0,5
273.15,1,5.9976,6.1976,0,5
273.15,1,6.0074,6.2074,0,5
273.15,1,6.0172,6.2172,0,5
273.15,1,6.027,6.227,0,5
273.15,1,6.0368,6.2368,0,5
273.15,1,6.0466,6.2466,0,5
273.15,1,6.0564,6.2564,0,5
273.15,1,6.0662,6.2662,0,5
273.15,1,6.076,6.276,0,5
273.15,1,6.0858,6.2858,0,5
273.15,1,6.0956,6.2956,0,5
273.15,1,6.1054,6.3054,0,5
273.15,1,6.1152,6.3152,0,5
273.15,1,6.125,6.325,0,5
273.15,1,6.1348,6.3348,0,5
273.15,1,6.1446,6.3446,0,5
273.15,1,6.1544,6.3544,0,5
273.15,1,6.1642,6.3642,0,5
273.15,1,6.174,6.374,0,5
273.15,1,6.1838,6.3838,0,5
273.15,1,6.1936,6.3936,0,5
273.15,1,6.2034,6.4034,0,5
273.15,1,6.2132,6.4132,0,5
273.15,1,6.223,6.423,0,5
273.15,1,6.2328,6.4328,0,5
273.15,1,6.2426,6.4426,0,5
273.15,1,6.2524,6.4524,0,5
273.15,1,6.2622,6.4622,0,5
273.15,1,6.272,6.472,0,5
273.15,1,6.2818,6.4818,0,5
273.15,1,6.2916,6.4916,0,5
273.15,1,6.3014,6.5014,0,5
273.15,1,6.3112,6.5112,0,5
273.15,1,6.321,6.521,0,5
273.15,1,6.3308,6.5308,0,5
273.15,1,6.3406,6.5406,0,5
273.15,1,6.3504,6.5504,0,5
273.15,1,6.3602,6.5602,0,5
273.15,1,6.37,6.57,0,5
273.15,1,6.3798,6.5798,0,5
273.15,1,6.3896,6.5896,0,5
273.15,1,6.3994,6.5994,0,5
273.15,1,6.4092,6.6092,0,5
273.15,1,6.419,6.619,0,5
273.15,1,6.4288,6.6288,0,5
273.15,1,6.4386,6.6386,0,5
273.15,1,6.4484,6.6484,0,5
273.15,1,6.4582,6.6582,0,5
273.15,1,6.468,6.668,0,5
273.15,1,6.4778,6.6778,0,5
273.15,1,6.4876,6.6876,0,5
273.15,1,6.4974,6.6974,0,5
273.15,1,6.5072,6.7072,0,5
273.15,1,6.517,6.717,0,5
273.15,1,6.5268,6.7268,0,5
273.15,1,6.5366,6.7366,0,5
273.15,1,6.5464,6.7464,0,5
273.15,1,6.5562,6.7562,0,5
273.15,1,6.566,6.766,0,5
273.15,1,6.5758,6.7758,0,5
273.15,1,6.5856,6.7856,0,5
273.15,1,6.5954,6.7954,0,5
273.15,1,6.6052,6.8052,0,5
273.15,1,6.615,6.815,0,5
273.15,1,6.6248,6.8248,0,5
273.15,1,6.6346,6.8346,0,5
273.15,1,6.6444,6.8444,0,5
273.15,1,6.6542,6.8542,0,5
273.15,1,6.664,6.864,0,5
273.15,1,6.6738,6.8738,0,5
273.15,1,6.6836,6.8836,0,5
273.15,1,6.6934,6.8934,0,5
273.15,1,6.7032,6.9032,0,5
273.15,1,6.713,6.913,0,5
273.15,1,6.7228,6.9228,0,5
273.15,1,6.7326,6.9326,0,5
273.15,1,6.7424,6.9424,0,5
273.15,1,6.7522,6.9522,0,5
273.15,1,6.762,6.962,0,5
273.15,1,6.7718,6.9718,0,5
273.15,1,6.7816,6.9816,0,5
273.15,1,6.7914,6.9914,0,5
273.15,1,6.8012,7.0012,0,5
273.15,1,6.811,7.011,0,5
273.15,1,6.8208,7.0208,0,5
273.15,1,6.8306,7.0306,0,5
273.15,1,6.8404,7.0404,0,5
273.15,1,6.8502,7.0502,0,5
273.15,1,6.86,7.06,0,5
273.15,1,6.8698,7.0698,0,5
273.15,1,6.8796,7.0796,0,5
273.15,1,6.8894,7.0894,0,5
